2019-05-10 18:16:27.899 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@459e9125: startup date [Fri May 10 18:16:23 CST 2019]; root of context hierarchy
2019-05-10 18:16:27.951 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-05-10 18:16:27.952 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-05-10 18:16:27.988 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-05-10 18:16:28.284 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2019-05-10 18:16:28.294 [main] INFO  org.springframework.context.support.DefaultLifecycleProcessor - Starting beans in phase 2147483647
2019-05-10 18:16:28.294 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-05-10 18:16:28.347 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2019-05-10 18:16:28.382 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-05-10 18:16:28.922 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8888 (http)
2019-05-10 18:16:28.929 [main] INFO  com.course.Application - Started Application in 6.576 seconds (JVM running for 8.7)
2019-05-10 18:16:47.065 [http-nio-8888-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2019-05-10 18:16:47.066 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2019-05-10 18:16:47.094 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 28 ms
2019-05-10 18:16:47.642 [http-nio-8888-exec-1] INFO  com.course.controller.UserManager - 查看到的结果是2
2019-05-10 18:18:02.301 [http-nio-8888-exec-3] INFO  com.course.controller.UserManager - 查看到的结果是2
2019-05-10 18:18:02.634 [http-nio-8888-exec-4] INFO  com.course.controller.UserManager - 查看到的结果是0
2019-05-10 18:24:08.837 [http-nio-8888-exec-1] INFO  com.course.controller.UserManager - 查看到的结果是2
2019-05-10 18:28:30.890 [http-nio-8888-exec-9] INFO  com.course.controller.UserManager - 查看到的结果是2
2019-05-10 18:28:32.098 [http-nio-8888-exec-2] INFO  com.course.controller.UserManager - 查看到的结果是2
2019-05-10 18:28:32.325 [http-nio-8888-exec-3] INFO  com.course.controller.UserManager - 查看到的结果是2
